epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.3077529966831207,2.17798113822937,0.001,0.49286699295043945,1.4620903730392456
1,0.517557680606842,1.4014794826507568,0.001,0.7156005501747131,0.9140653014183044
2,0.6235944032669067,1.0374438762664795,0.001,0.7455131411552429,0.745183527469635
3,0.672716498374939,0.8684731721878052,0.001,0.7478140592575073,0.659652590751648
4,0.7064509987831116,0.7596702575683594,0.001,0.7731246948242188,0.5710024237632751
5,0.7242059707641602,0.6826873421669006,0.001,0.7303267121315002,0.6459621787071228
6,0.7432432174682617,0.6397536993026733,0.001,0.8288081288337708,0.4837539792060852
7,0.7560662627220154,0.5947091579437256,0.001,0.8113207817077637,0.43911677598953247
8,0.7682974934577942,0.5605803728103638,0.001,0.8232857584953308,0.44463053345680237
9,0.788419783115387,0.5184875726699829,0.001,0.8251265287399292,0.4480518400669098
10,0.7983823418617249,0.4930002987384796,0.001,0.8541187047958374,0.3603110909461975
